Date,Currency,RateToUSD
1/1/2024,USD,1
1/1/2024,EUR,1.1
1/1/2024,GBP,1.3
1/1/2024,JPY,0.007
1/2/2024,USD,1
1/2/2024,EUR,1.1
1/2/2024,GBP,1.3
1/2/2024,JPY,0.007
1/3/2024,USD,1
1/3/2024,EUR,1.1
1/3/2024,GBP,1.3
1/3/2024,JPY,0.007
1/4/2024,USD,1
1/4/2024,EUR,1.1
1/4/2024,GBP,1.3
1/4/2024,JPY,0.007
1/5/2024,USD,1
1/5/2024,EUR,1.1
1/5/2024,GBP,1.3
1/5/2024,JPY,0.007
1/6/2024,USD,1
1/6/2024,EUR,1.1
1/6/2024,GBP,1.3
1/6/2024,JPY,0.007
1/7/2024,USD,1
1/7/2024,EUR,1.1
1/7/2024,GBP,1.3
1/7/2024,JPY,0.007
1/8/2024,USD,1
1/8/2024,EUR,1.1
1/8/2024,GBP,1.3
1/8/2024,JPY,0.007
1/9/2024,USD,1
1/9/2024,EUR,1.1
1/9/2024,GBP,1.3
1/9/2024,JPY,0.007
1/10/2024,USD,1
1/10/2024,EUR,1.1
1/10/2024,GBP,1.3
1/10/2024,JPY,0.007
1/11/2024,USD,1
1/11/2024,EUR,1.1
1/11/2024,GBP,1.3
1/11/2024,JPY,0.007
1/12/2024,USD,1
1/12/2024,EUR,1.1
1/12/2024,GBP,1.3
1/12/2024,JPY,0.007
1/13/2024,USD,1
1/13/2024,EUR,1.1
1/13/2024,GBP,1.3
1/13/2024,JPY,0.007
1/14/2024,USD,1
1/14/2024,EUR,1.1
1/14/2024,GBP,1.3
1/14/2024,JPY,0.007
1/15/2024,USD,1
1/15/2024,EUR,1.1
1/15/2024,GBP,1.3
1/15/2024,JPY,0.007
1/16/2024,USD,1
1/16/2024,EUR,1.1
1/16/2024,GBP,1.3
1/16/2024,JPY,0.007
1/17/2024,USD,1
1/17/2024,EUR,1.1
1/17/2024,GBP,1.3
1/17/2024,JPY,0.007
1/18/2024,USD,1
1/18/2024,EUR,1.1
1/18/2024,GBP,1.3
1/18/2024,JPY,0.007
1/19/2024,USD,1
1/19/2024,EUR,1.1
1/19/2024,GBP,1.3
1/19/2024,JPY,0.007
1/20/2024,USD,1
1/20/2024,EUR,1.1
1/20/2024,GBP,1.3
1/20/2024,JPY,0.007
1/21/2024,USD,1
1/21/2024,EUR,1.1
1/21/2024,GBP,1.3
1/21/2024,JPY,0.007
1/22/2024,USD,1
1/22/2024,EUR,1.1
1/22/2024,GBP,1.3
1/22/2024,JPY,0.007
1/23/2024,USD,1
1/23/2024,EUR,1.1
1/23/2024,GBP,1.3
1/23/2024,JPY,0.007
1/24/2024,USD,1
1/24/2024,EUR,1.1
1/24/2024,GBP,1.3
1/24/2024,JPY,0.007
1/25/2024,USD,1
1/25/2024,EUR,1.1
1/25/2024,GBP,1.3
1/25/2024,JPY,0.007
1/26/2024,USD,1
1/26/2024,EUR,1.1
1/26/2024,GBP,1.3
1/26/2024,JPY,0.007
1/27/2024,USD,1
1/27/2024,EUR,1.1
1/27/2024,GBP,1.3
1/27/2024,JPY,0.007
1/28/2024,USD,1
1/28/2024,EUR,1.1
1/28/2024,GBP,1.3
1/28/2024,JPY,0.007
1/29/2024,USD,1
1/29/2024,EUR,1.1
1/29/2024,GBP,1.3
1/29/2024,JPY,0.007
1/30/2024,USD,1
1/30/2024,EUR,1.1
1/30/2024,GBP,1.3
1/30/2024,JPY,0.007
1/31/2024,USD,1
1/31/2024,EUR,1.1
1/31/2024,GBP,1.3
1/31/2024,JPY,0.007
2/1/2024,USD,1
2/1/2024,EUR,1.1
2/1/2024,GBP,1.3
2/1/2024,JPY,0.007
2/2/2024,USD,1
2/2/2024,EUR,1.1
2/2/2024,GBP,1.3
2/2/2024,JPY,0.007
2/3/2024,USD,1
2/3/2024,EUR,1.1
2/3/2024,GBP,1.3
2/3/2024,JPY,0.007
2/4/2024,USD,1
2/4/2024,EUR,1.1
2/4/2024,GBP,1.3
2/4/2024,JPY,0.007
2/5/2024,USD,1
2/5/2024,EUR,1.1
2/5/2024,GBP,1.3
2/5/2024,JPY,0.007
2/6/2024,USD,1
2/6/2024,EUR,1.1
2/6/2024,GBP,1.3
2/6/2024,JPY,0.007
2/7/2024,USD,1
2/7/2024,EUR,1.1
2/7/2024,GBP,1.3
2/7/2024,JPY,0.007
2/8/2024,USD,1
2/8/2024,EUR,1.1
2/8/2024,GBP,1.3
2/8/2024,JPY,0.007
2/9/2024,USD,1
2/9/2024,EUR,1.1
2/9/2024,GBP,1.3
2/9/2024,JPY,0.007
2/10/2024,USD,1
2/10/2024,EUR,1.1
2/10/2024,GBP,1.3
2/10/2024,JPY,0.007
2/11/2024,USD,1
2/11/2024,EUR,1.1
2/11/2024,GBP,1.3
2/11/2024,JPY,0.007
2/12/2024,USD,1
2/12/2024,EUR,1.1
2/12/2024,GBP,1.3
2/12/2024,JPY,0.007
2/13/2024,USD,1
2/13/2024,EUR,1.1
2/13/2024,GBP,1.3
2/13/2024,JPY,0.007
2/14/2024,USD,1
2/14/2024,EUR,1.1
2/14/2024,GBP,1.3
2/14/2024,JPY,0.007
2/15/2024,USD,1
2/15/2024,EUR,1.1
2/15/2024,GBP,1.3
2/15/2024,JPY,0.007
2/16/2024,USD,1
2/16/2024,EUR,1.1
2/16/2024,GBP,1.3
2/16/2024,JPY,0.007
2/17/2024,USD,1
2/17/2024,EUR,1.1
2/17/2024,GBP,1.3
2/17/2024,JPY,0.007
2/18/2024,USD,1
2/18/2024,EUR,1.1
2/18/2024,GBP,1.3
2/18/2024,JPY,0.007
2/19/2024,USD,1
2/19/2024,EUR,1.1
2/19/2024,GBP,1.3
2/19/2024,JPY,0.007
2/20/2024,USD,1
2/20/2024,EUR,1.1
2/20/2024,GBP,1.3
2/20/2024,JPY,0.007
2/21/2024,USD,1
2/21/2024,EUR,1.1
2/21/2024,GBP,1.3
2/21/2024,JPY,0.007
2/22/2024,USD,1
2/22/2024,EUR,1.1
2/22/2024,GBP,1.3
2/22/2024,JPY,0.007
2/23/2024,USD,1
2/23/2024,EUR,1.1
2/23/2024,GBP,1.3
2/23/2024,JPY,0.007
2/24/2024,USD,1
2/24/2024,EUR,1.1
2/24/2024,GBP,1.3
2/24/2024,JPY,0.007
2/25/2024,USD,1
2/25/2024,EUR,1.1
2/25/2024,GBP,1.3
2/25/2024,JPY,0.007
2/26/2024,USD,1
2/26/2024,EUR,1.1
2/26/2024,GBP,1.3
2/26/2024,JPY,0.007
2/27/2024,USD,1
2/27/2024,EUR,1.1
2/27/2024,GBP,1.3
2/27/2024,JPY,0.007
2/28/2024,USD,1
2/28/2024,EUR,1.1
2/28/2024,GBP,1.3
2/28/2024,JPY,0.007
2/29/2024,USD,1
2/29/2024,EUR,1.1
2/29/2024,GBP,1.3
2/29/2024,JPY,0.007
3/1/2024,USD,1
3/1/2024,EUR,1.1
3/1/2024,GBP,1.3
3/1/2024,JPY,0.007
3/2/2024,USD,1
3/2/2024,EUR,1.1
3/2/2024,GBP,1.3
3/2/2024,JPY,0.007
3/3/2024,USD,1
3/3/2024,EUR,1.1
3/3/2024,GBP,1.3
3/3/2024,JPY,0.007
3/4/2024,USD,1
3/4/2024,EUR,1.1
3/4/2024,GBP,1.3
3/4/2024,JPY,0.007
3/5/2024,USD,1
3/5/2024,EUR,1.1
3/5/2024,GBP,1.3
3/5/2024,JPY,0.007
3/6/2024,USD,1
3/6/2024,EUR,1.1
3/6/2024,GBP,1.3
3/6/2024,JPY,0.007
3/7/2024,USD,1
3/7/2024,EUR,1.1
3/7/2024,GBP,1.3
3/7/2024,JPY,0.007
3/8/2024,USD,1
3/8/2024,EUR,1.1
3/8/2024,GBP,1.3
3/8/2024,JPY,0.007
3/9/2024,USD,1
3/9/2024,EUR,1.1
3/9/2024,GBP,1.3
3/9/2024,JPY,0.007
3/10/2024,USD,1
3/10/2024,EUR,1.1
3/10/2024,GBP,1.3
3/10/2024,JPY,0.007
3/11/2024,USD,1
3/11/2024,EUR,1.1
3/11/2024,GBP,1.3
3/11/2024,JPY,0.007
3/12/2024,USD,1
3/12/2024,EUR,1.1
3/12/2024,GBP,1.3
3/12/2024,JPY,0.007
3/13/2024,USD,1
3/13/2024,EUR,1.1
3/13/2024,GBP,1.3
3/13/2024,JPY,0.007
3/14/2024,USD,1
3/14/2024,EUR,1.1
3/14/2024,GBP,1.3
3/14/2024,JPY,0.007
3/15/2024,USD,1
3/15/2024,EUR,1.1
3/15/2024,GBP,1.3
3/15/2024,JPY,0.007
3/16/2024,USD,1
3/16/2024,EUR,1.1
3/16/2024,GBP,1.3
3/16/2024,JPY,0.007
3/17/2024,USD,1
3/17/2024,EUR,1.1
3/17/2024,GBP,1.3
3/17/2024,JPY,0.007
3/18/2024,USD,1
3/18/2024,EUR,1.1
3/18/2024,GBP,1.3
3/18/2024,JPY,0.007
3/19/2024,USD,1
3/19/2024,EUR,1.1
3/19/2024,GBP,1.3
3/19/2024,JPY,0.007
3/20/2024,USD,1
3/20/2024,EUR,1.1
3/20/2024,GBP,1.3
3/20/2024,JPY,0.007
3/21/2024,USD,1
3/21/2024,EUR,1.1
3/21/2024,GBP,1.3
3/21/2024,JPY,0.007
3/22/2024,USD,1
3/22/2024,EUR,1.1
3/22/2024,GBP,1.3
3/22/2024,JPY,0.007
3/23/2024,USD,1
3/23/2024,EUR,1.1
3/23/2024,GBP,1.3
3/23/2024,JPY,0.007
3/24/2024,USD,1
3/24/2024,EUR,1.1
3/24/2024,GBP,1.3
3/24/2024,JPY,0.007
3/25/2024,USD,1
3/25/2024,EUR,1.1
3/25/2024,GBP,1.3
3/25/2024,JPY,0.007
3/26/2024,USD,1
3/26/2024,EUR,1.1
3/26/2024,GBP,1.3
3/26/2024,JPY,0.007
3/27/2024,USD,1
3/27/2024,EUR,1.1
3/27/2024,GBP,1.3
3/27/2024,JPY,0.007
3/28/2024,USD,1
3/28/2024,EUR,1.1
3/28/2024,GBP,1.3
3/28/2024,JPY,0.007
3/29/2024,USD,1
3/29/2024,EUR,1.1
3/29/2024,GBP,1.3
3/29/2024,JPY,0.007
3/30/2024,USD,1
3/30/2024,EUR,1.1
3/30/2024,GBP,1.3
3/30/2024,JPY,0.007
3/31/2024,USD,1
3/31/2024,EUR,1.1
3/31/2024,GBP,1.3
3/31/2024,JPY,0.007
